service_id,date,exception_type
2025_01_13-DX-MVS-Weekday-022,20250120,2
2025_01_13-DX-MVS-Weekday-022,20250217,2
2025_01_13-DX-MVS-Weekday-022,20250526,2
2025_01_13-DX-MVS-Weekday-022,20250704,2
2025_01_13-SA-MVS-Saturday-022,20250120,1
2025_01_13-SA-MVS-Saturday-022,20250217,1
2025_01_13-SU-MVS-Sunday-022,20250526,1
2025_01_13-SU-MVS-Sunday-022,20250704,1
2025_01_13-DX19-Weekday-003,20250217,2
2025_01_13-DX19-Weekday-003,20250526,2
2025_01_13-DX19-Weekday-003,20250704,2
2025_01_13-SA19-Saturday-003,20250217,1
2025_01_13-SU19-Sunday-003,20250526,1
2025_01_13-SU19-Sunday-003,20250704,1
2025_01_13-DX20-Weekday-003,20250217,2
2025_01_13-DX20-Weekday-003,20250526,2
2025_01_13-DX20-Weekday-003,20250704,2
2025_01_13-SA20-Saturday-003,20250217,1
2025_01_13-SU20-Sunday-003,20250526,1
2025_01_13-SU20-Sunday-003,20250704,1
