fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,7.10,USD,1,,
2,4.00,USD,1,,
3,9.50,USD,1,,
4,4.00,USD,1,,
5,8.20,USD,1,,
6,6.60,USD,1,,
7,6.30,USD,1,,
8,6.10,USD,1,,
9,5.90,USD,1,,
10,5.80,USD,1,,
11,5.70,USD,1,,
12,5.55,USD,1,,
13,5.45,USD,1,,
14,5.45,USD,1,,
15,5.45,USD,1,,
16,5.80,USD,1,,
17,6.00,USD,1,,
18,6.35,USD,1,,
19,6.65,USD,1,,
20,7.00,USD,1,,
21,7.40,USD,1,,
22,8.00,USD,1,,
23,8.40,USD,1,,
24,7.00,USD,1,,
25,8.40,USD,1,,
26,8.90,USD,1,,
27,8.25,USD,1,,
28,4.00,USD,1,,
29,8.00,USD,1,,
30,7.50,USD,1,,
31,7.30,USD,1,,
32,6.85,USD,1,,
33,6.40,USD,1,,
34,5.70,USD,1,,
35,5.35,USD,1,,
36,4.85,USD,1,,
37,4.85,USD,1,,
38,4.85,USD,1,,
39,4.85,USD,1,,
40,4.65,USD,1,,
41,4.50,USD,1,,
42,4.20,USD,1,,
43,4.00,USD,1,,
44,4.00,USD,1,,
45,13.50,USD,1,,
46,8.95,USD,1,,
47,9.85,USD,1,,
48,10.15,USD,1,,
49,9.10,USD,1,,
50,9.90,USD,1,,
51,4.00,USD,1,,
52,7.10,USD,1,,
53,9.50,USD,1,,
54,4.00,USD,1,,
55,8.50,USD,1,,
56,6.90,USD,1,,
57,6.65,USD,1,,
58,6.45,USD,1,,
59,6.20,USD,1,,
60,6.15,USD,1,,
61,6.00,USD,1,,
62,5.85,USD,1,,
63,5.75,USD,1,,
64,5.75,USD,1,,
65,5.75,USD,1,,
66,6.10,USD,1,,
67,6.35,USD,1,,
68,6.70,USD,1,,
69,7.00,USD,1,,
70,7.35,USD,1,,
71,7.70,USD,1,,
72,8.30,USD,1,,
73,8.75,USD,1,,
74,7.35,USD,1,,
75,8.70,USD,1,,
76,9.20,USD,1,,
77,8.60,USD,1,,
78,4.00,USD,1,,
79,8.35,USD,1,,
80,7.80,USD,1,,
81,7.65,USD,1,,
82,7.20,USD,1,,
83,6.70,USD,1,,
84,6.05,USD,1,,
85,5.65,USD,1,,
86,5.35,USD,1,,
87,5.35,USD,1,,
88,5.35,USD,1,,
89,5.35,USD,1,,
90,5.15,USD,1,,
91,5.00,USD,1,,
92,4.70,USD,1,,
93,4.55,USD,1,,
94,4.00,USD,1,,
95,13.80,USD,1,,
96,9.25,USD,1,,
97,10.15,USD,1,,
98,10.45,USD,1,,
99,9.40,USD,1,,
100,10.20,USD,1,,
101,9.50,USD,1,,
102,9.50,USD,1,,
103,7.10,USD,1,,
104,5.50,USD,1,,
105,14.25,USD,1,,
106,12.65,USD,1,,
107,12.40,USD,1,,
108,12.20,USD,1,,
109,11.95,USD,1,,
110,11.90,USD,1,,
111,11.75,USD,1,,
112,11.60,USD,1,,
113,11.50,USD,1,,
114,11.50,USD,1,,
115,11.50,USD,1,,
116,11.85,USD,1,,
117,12.10,USD,1,,
118,12.45,USD,1,,
119,12.75,USD,1,,
120,13.10,USD,1,,
121,13.45,USD,1,,
122,14.05,USD,1,,
123,14.50,USD,1,,
124,13.10,USD,1,,
125,14.45,USD,1,,
126,14.95,USD,1,,
127,14.35,USD,1,,
128,9.90,USD,1,,
129,14.10,USD,1,,
130,13.55,USD,1,,
131,13.40,USD,1,,
132,12.95,USD,1,,
133,12.45,USD,1,,
134,11.80,USD,1,,
135,11.40,USD,1,,
136,11.15,USD,1,,
137,11.15,USD,1,,
138,11.15,USD,1,,
139,11.15,USD,1,,
140,11.05,USD,1,,
141,10.90,USD,1,,
142,10.60,USD,1,,
143,10.45,USD,1,,
144,10.15,USD,1,,
145,19.55,USD,1,,
146,15.00,USD,1,,
147,15.90,USD,1,,
148,16.20,USD,1,,
149,15.15,USD,1,,
150,15.95,USD,1,,
151,4.00,USD,1,,
152,4.00,USD,1,,
153,5.50,USD,1,,
154,7.10,USD,1,,
155,8.90,USD,1,,
156,7.30,USD,1,,
157,7.05,USD,1,,
158,6.85,USD,1,,
159,6.60,USD,1,,
160,6.55,USD,1,,
161,6.45,USD,1,,
162,6.30,USD,1,,
163,6.15,USD,1,,
164,6.15,USD,1,,
165,6.15,USD,1,,
166,6.50,USD,1,,
167,6.75,USD,1,,
168,7.10,USD,1,,
169,7.40,USD,1,,
170,7.75,USD,1,,
171,8.10,USD,1,,
172,8.70,USD,1,,
173,9.15,USD,1,,
174,7.75,USD,1,,
175,9.10,USD,1,,
176,9.60,USD,1,,
177,9.00,USD,1,,
178,4.65,USD,1,,
179,8.75,USD,1,,
180,8.25,USD,1,,
181,8.05,USD,1,,
182,7.60,USD,1,,
183,7.15,USD,1,,
184,6.45,USD,1,,
185,6.05,USD,1,,
186,5.80,USD,1,,
187,5.80,USD,1,,
188,5.80,USD,1,,
189,5.80,USD,1,,
190,5.70,USD,1,,
191,5.65,USD,1,,
192,5.35,USD,1,,
193,5.15,USD,1,,
194,4.90,USD,1,,
195,14.20,USD,1,,
196,9.65,USD,1,,
197,10.55,USD,1,,
198,10.85,USD,1,,
199,9.80,USD,1,,
200,10.60,USD,1,,
201,8.20,USD,1,,
202,8.50,USD,1,,
203,14.25,USD,1,,
204,8.90,USD,1,,
205,7.10,USD,1,,
206,6.40,USD,1,,
207,6.15,USD,1,,
208,5.95,USD,1,,
209,5.70,USD,1,,
210,5.65,USD,1,,
211,5.55,USD,1,,
212,5.35,USD,1,,
213,5.25,USD,1,,
214,5.25,USD,1,,
215,5.25,USD,1,,
216,4.95,USD,1,,
217,4.70,USD,1,,
218,4.35,USD,1,,
219,2.40,USD,1,,
220,4.40,USD,1,,
221,4.75,USD,1,,
222,5.35,USD,1,,
223,5.80,USD,1,,
224,2.40,USD,1,,
225,2.40,USD,1,,
226,8.50,USD,1,,
227,7.85,USD,1,,
228,7.95,USD,1,,
229,7.60,USD,1,,
230,7.10,USD,1,,
231,6.90,USD,1,,
232,6.50,USD,1,,
233,6.00,USD,1,,
234,5.35,USD,1,,
235,5.40,USD,1,,
236,7.40,USD,1,,
237,7.40,USD,1,,
238,7.40,USD,1,,
239,7.40,USD,1,,
240,7.50,USD,1,,
241,7.55,USD,1,,
242,7.75,USD,1,,
243,7.80,USD,1,,
244,8.00,USD,1,,
245,12.15,USD,1,,
246,6.30,USD,1,,
247,7.20,USD,1,,
248,7.50,USD,1,,
249,8.70,USD,1,,
250,9.50,USD,1,,
251,6.60,USD,1,,
252,6.90,USD,1,,
253,12.65,USD,1,,
254,7.30,USD,1,,
255,6.40,USD,1,,
256,7.10,USD,1,,
257,2.40,USD,1,,
258,2.40,USD,1,,
259,2.40,USD,1,,
260,2.40,USD,1,,
261,2.40,USD,1,,
262,3.35,USD,1,,
263,3.55,USD,1,,
264,3.55,USD,1,,
265,3.55,USD,1,,
266,3.95,USD,1,,
267,4.25,USD,1,,
268,4.60,USD,1,,
269,4.90,USD,1,,
270,5.20,USD,1,,
271,5.60,USD,1,,
272,6.20,USD,1,,
273,6.65,USD,1,,
274,5.25,USD,1,,
275,6.60,USD,1,,
276,6.65,USD,1,,
277,6.05,USD,1,,
278,6.35,USD,1,,
279,5.80,USD,1,,
280,5.30,USD,1,,
281,5.10,USD,1,,
282,4.65,USD,1,,
283,4.15,USD,1,,
284,3.35,USD,1,,
285,3.75,USD,1,,
286,5.80,USD,1,,
287,5.80,USD,1,,
288,5.80,USD,1,,
289,5.80,USD,1,,
290,5.90,USD,1,,
291,5.95,USD,1,,
292,6.10,USD,1,,
293,6.20,USD,1,,
294,6.40,USD,1,,
295,11.70,USD,1,,
296,7.15,USD,1,,
297,8.05,USD,1,,
298,8.35,USD,1,,
299,6.85,USD,1,,
300,7.65,USD,1,,
301,6.30,USD,1,,
302,6.65,USD,1,,
303,12.40,USD,1,,
304,7.05,USD,1,,
305,6.15,USD,1,,
306,2.40,USD,1,,
307,7.10,USD,1,,
308,2.40,USD,1,,
309,2.40,USD,1,,
310,2.40,USD,1,,
311,2.40,USD,1,,
